record_id	probe_id	probe_timestamp	server_timestamp	temp_rtc	temp_bmp	press_bmp	temp_htu	hum_htu	temp_ds18b20	rssi	charge	vacc	spc	sta0
18448	7	1999-12-31 17:01:00	2021-02-21 16:37:57	30,75	30,040000915527344	748,0	28,739999771118164	26,049999237060547	-127,0	-109	50	7,510000228881836	0,0	
31804	7	1999-12-31 17:02:00	2021-03-01 12:33:27	25,75	25,030000686645508	745,2000122070312	25,290000915527344	5,940000057220459	-127,0	-100	94	0,0	0,0	
31805	7	1999-12-31 17:02:00	2021-03-01 12:33:30	25,75	25,040000915527344	745,2000122070312	25,299999237060547	5,900000095367432	-127,0	-101	94	0,0	0,0	
31806	7	1999-12-31 17:02:00	2021-03-01 12:33:33	25,5	25,030000686645508	745,2000122070312	25,31999969482422	5,849999904632568	-127,0	-101	94	0,0	0,0	
31807	7	1999-12-31 17:02:00	2021-03-01 12:33:39	25,75	25,010000228881836	745,0999755859375	25,31999969482422	5,849999904632568	-127,0	-98	94	0,0	0,0	
31803	7	1999-12-31 17:02:00	2021-03-01 12:33:24	25,75	25,059999465942383	745,0999755859375	25,290000915527344	5,840000152587891	-127,0	-100	94	0,0	0,0	
31819	7	1999-12-31 17:03:00	2021-03-01 12:34:09	25,25	24,770000457763672	745,0999755859375	24,989999771118164	6,260000228881836	-127,0	-94	94	0,0	0,0	
31820	7	1999-12-31 17:03:00	2021-03-01 12:34:15	25,25	24,739999771118164	745,0999755859375	24,959999084472656	6,0	-127,0	-95	94	0,0	0,0	
31821	7	1999-12-31 17:03:00	2021-03-01 12:34:15	25,25	24,75	745,0999755859375	24,979999542236328	6,019999980926514	-127,0	-94	94	0,0	0,0	
31822	7	1999-12-31 17:03:00	2021-03-01 12:34:18	25,25	24,729999542236328	745,0999755859375	24,920000076293945	5,880000114440918	-127,0	-92	94	0,0	0,0	
31823	7	1999-12-31 17:03:00	2021-03-01 12:34:21	25,25	24,719999313354492	745,0999755859375	24,899999618530273	6,059999942779541	-127,0	-95	94	0,0	0,0	
31824	7	1999-12-31 17:03:00	2021-03-01 12:34:24	25,25	24,719999313354492	745,0999755859375	24,8700008392334	6,03000020980835	-127,0	-95	94	0,0	0,0	
31825	7	1999-12-31 17:03:00	2021-03-01 12:34:27	25,25	24,719999313354492	745,0999755859375	24,84000015258789	5,960000038146973	-127,0	-96	94	0,0	0,0	
31826	7	1999-12-31 17:03:00	2021-03-01 12:34:30	25,25	24,719999313354492	745,0999755859375	24,81999969482422	5,96999979019165	-127,0	-95	94	0,0	0,0	
31827	7	1999-12-31 17:03:00	2021-03-01 12:34:33	25,25	24,729999542236328	745,0999755859375	24,829999923706055	6,090000152587891	-127,0	-92	94	0,0	0,0	
31828	7	1999-12-31 17:03:00	2021-03-01 12:34:36	25,0	24,739999771118164	745,0999755859375	24,84000015258789	6,130000114440918	-127,0	-92	94	0,0	0,0	
31813	7	1999-12-31 17:03:00	2021-03-01 12:33:54	25,5	24,81999969482422	745,0999755859375	25,1200008392334	5,789999961853027	-127,0	-95	94	0,0	0,0	
31814	7	1999-12-31 17:03:00	2021-03-01 12:33:57	25,5	24,780000686645508	745,0999755859375	25,06999969482422	5,909999847412109	-127,0	-91	94	0,0	0,0	
31815	7	1999-12-31 17:03:00	2021-03-01 12:34:00	25,5	24,780000686645508	745,0999755859375	25,06999969482422	5,949999809265137	-127,0	-94	94	0,0	0,0	
31816	7	1999-12-31 17:03:00	2021-03-01 12:34:03	25,25	24,780000686645508	745,0999755859375	25,020000457763672	5,96999979019165	-127,0	-93	94	0,0	0,0	
31817	7	1999-12-31 17:03:00	2021-03-01 12:34:06	25,25	24,790000915527344	745,2000122070312	25,020000457763672	6,139999866485596	-127,0	-93	94	0,0	0,0	
